se,g,l,a,p,d,v
4.056122449,60622,zip,HDSZR,,2010,60.9
3.3673469388,60623,zip,HDSZR,,2010,90.4
5.4591836735,60624,zip,HDSZR,,2010,104.3
2.3214285714,60625,zip,HDSZR,,2010,39.0
1.25,60632,zip,HDSZR,,2010,12.7
5.4846938776,60636,zip,HDSZR,,2010,107.9
1.8112244898,60641,zip,HDSZR,,2010,23.4
2.0918367347,60642,zip,HDSZR,,2010,7.0
2.3724489796,60647,zip,HDSZR,,2010,36.8
4.8469387755,60654,zip,HDSZR,,2010,28.3
5.9183673469,60661,zip,HDSZR,,2010,18.1
3.8520408163,60605,zip,HDSZR,,2010,32.2
3.8520408163,60610,zip,HDSZR,,2010,49.5
2.5255102041,60611,zip,HDSZR,,2010,15.9
3.5714285714,60613,zip,HDSZR,,2010,50.7
2.7040816327,60614,zip,HDSZR,,2010,35.9
3.2653061224,60615,zip,HDSZR,,2010,41.0
2.3724489796,60617,zip,HDSZR,,2010,43.4
3.9795918367,60620,zip,HDSZR,,2010,105.2
4.9234693878,60626,zip,HDSZR,,2010,113.3
3.9285714286,60628,zip,HDSZR,,2010,101.3
1.8112244898,60629,zip,HDSZR,,2010,33.5
1.4030612245,60630,zip,HDSZR,,2010,10.9
1.887755102,60631,zip,HDSZR,,2010,10.1
9.2602040816,60633,zip,HDSZR,,2010,108.0
1.3010204082,60634,zip,HDSZR,,2010,12.9
4.6683673469,60637,zip,HDSZR,,2010,98.6
1.5306122449,60638,zip,HDSZR,,2010,12.8
1.9897959184,60639,zip,HDSZR,,2010,31.5
5.2040816327,60640,zip,HDSZR,,2010,191.6
3.112244898,60643,zip,HDSZR,,2010,42.5
6.0969387755,60644,zip,HDSZR,,2010,167.5
3.5204081633,60645,zip,HDSZR,,2010,54.8
2.5255102041,60646,zip,HDSZR,,2010,15.9
5.612244898,60649,zip,HDSZR,,2010,144.7
3.2142857143,60651,zip,HDSZR,,2010,61.1
2.1683673469,60652,zip,HDSZR,,2010,17.9
6.862244898,60653,zip,HDSZR,,2010,138.6
1.3010204082,60655,zip,HDSZR,,2010,4.7
1.9897959184,60656,zip,HDSZR,,2010,11.4
2.4234693878,60657,zip,HDSZR,,2010,26.5
2.6275510204,60659,zip,HDSZR,,2010,26.0
4.3367346939,60660,zip,HDSZR,,2010,84.6
1.9642857143,60707,zip,HDSZR,,2010,16.7
3.4693877551,60827,zip,HDSZR,,2010,30.0
0.4591836735,1714000,place,HDSZR,,2010,55.6
0.4336734694,1714000,place,HDSZR,F,2017,26.8
0.4591836735,1714000,place,HDSZR,F,2016,28.5
0.4591836735,1714000,place,HDSZR,F,2014,29.7
0.4591836735,1714000,place,HDSZR,F,2013,29.5
0.4846938776,1714000,place,HDSZR,F,2012,31.5
0.5102040816,1714000,place,HDSZR,F,2011,35.7
0.5357142857,1714000,place,HDSZR,F,2010,37.8
0.6887755102,1714000,place,HDSZR,M,2017,64.4
0.7142857143,1714000,place,HDSZR,M,2016,64.3
0.6887755102,1714000,place,HDSZR,M,2014,62.0
0.6887755102,1714000,place,HDSZR,M,2013,61.4
0.7142857143,1714000,place,HDSZR,M,2012,66.4
0.7653061224,1714000,place,HDSZR,M,2011,73.6
0.7653061224,1714000,place,HDSZR,M,2010,74.1
0.4591836735,1714000,place,HDSZR,W,2017,19.3
